player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
lucas glover,2022,2022-04-10,12,-0.0868020302890602,0.25477692608774694,-0.4467653632679064,-0.15506865849856188,-0.009933886226009504,0.0849759205800931,0.08333333333333333,0.8333333333333334,-0.08649924504770616,1,93.0,93.0,0,0,-0.28,0.12333333333333334,-0.625,0.0,0.8333333333333334,53.166666666666664,30.0,1,1,0,0,0,0
lucas herbert,2022,2022-04-10,12,-0.5230047164043764,-0.77337197432862,0.6035806254399002,0.08717124206061355,-0.4416277051866581,-1.1257921931298402,0.16666666666666666,0.4166666666666667,-0.19698204850457185,0,,,0,0,-0.5619999999999999,-0.8740000000000002,0.8959999999999999,0.16666666666666666,0.5,58.666666666666664,85.0,0,0,0,0,0,0
luke list,2022,2022-04-10,12,0.42598933148525736,0.5136652073946923,-1.0841477153227648,0.411619022874388,0.6456697996911439,1.571846780270855,0.25,0.6666666666666666,-0.07129832445914827,0,,,0,0,0.38666666666666655,0.505,-1.01,0.16666666666666666,0.6666666666666666,48.166666666666664,85.0,0,0,0,0,0,0
louis oosthuizen,2022,2022-04-10,12,0.386954745288352,-0.21470703834874205,0.08082531228619896,0.26665385256454255,0.25822378127810736,0.30972278735803743,0.16666666666666666,0.9166666666666666,0.04514603341860354,7,23.571428571428573,12.0,0,0,0.14166666666666672,-0.5950000000000001,0.21333333333333337,0.0,0.8333333333333334,44.333333333333336,85.0,0,0,0,0,0,0
lee westwood,2022,2022-04-10,12,-1.596499158388962,-0.28321566857825153,-0.7520347290016318,-0.3047351143233865,-0.2585668645500773,-0.8462568675994117,0.0,0.6666666666666666,-0.6902333428770485,5,38.4,2.0,0,0,-2.4739999999999998,-0.608,-0.9959999999999999,0.0,0.4,70.0,14.0,1,1,1,0,0,0
matthew fitzpatrick,2022,2022-04-10,12,1.1084315486749348,0.4472538372447645,0.0616139964229296,0.28722788645839187,0.28532945347578903,1.0233626773159554,0.3333333333333333,0.8333333333333334,0.41251489868149416,6,29.666666666666668,7.0,0,0,1.876,0.632,0.406,0.6666666666666666,0.8333333333333334,20.333333333333332,14.0,1,1,1,0,0,0
max homa,2022,2022-04-10,12,0.978811893837726,0.5177237834261056,0.18810983668174958,-0.14221112156570456,0.4172687718433678,0.7935307555917054,0.16666666666666666,0.8333333333333334,0.47256609454093096,2,90.5,88.0,0,0,1.2733333333333332,0.6016666666666667,0.5066666666666667,0.16666666666666666,0.8333333333333334,24.833333333333332,48.0,1,0,0,0,0,0
mackenzie hughes,2022,2022-04-10,12,0.19042399396228177,-0.12106591464140136,0.8130345002394237,0.11761528656160927,-0.4971149110689693,-0.4994489583443814,0.16666666666666666,0.6666666666666666,0.24105521993160758,2,61.0,40.0,0,0,-0.06333333333333332,-0.18833333333333335,1.045,0.0,0.3333333333333333,64.0,50.0,1,0,0,0,0,0
min woo lee,2022,2022-04-10,8,-2.4713896987366377,-0.9738969873663752,-0.4372789115646258,-0.75,-0.30913508260447037,-2.0330320699708455,0.0,0.375,-0.9906016432547046,0,,,0,0,,,,0.0,0.25,80.0,14.0,1,1,1,0,0,0
marc leishman,2022,2022-04-10,12,0.6559052408073807,0.09803019162949143,0.3303730051579942,0.10196730690259717,0.14067086023309663,0.3413413644647689,0.25,0.9166666666666666,0.28782673899980005,6,32.666666666666664,5.0,0,0,0.6516666666666666,0.11666666666666665,0.27999999999999997,0.16666666666666666,0.8333333333333334,37.5,30.0,1,1,0,0,0,0
